"","rho_e","beta1_rho_T=0.3","beta1_rho_T=0.5","beta1_rho_T=0.7","beta1_rho_T=0.9","beta2_rho_T=0.3","beta2_rho_T=0.5","beta2_rho_T=0.7","beta2_rho_T=0.9"
"mut=1_Bivariate",0.5,-0.957,-0.898,-0.836,-0.77,-1.285,-1.265,-1.252,-1.249
"mut=1_Bivariate",0.6,-1.019,-0.965,-0.908,-0.846,-1.254,-1.231,-1.216,-1.21
"mut=1_Bivariate",0.7,-1.096,-1.05,-1.003,-0.952,-1.206,-1.177,-1.153,-1.137
"mut=1_Bivariate",0.8,-1.196,-1.166,-1.142,-1.129,-1.132,-1.088,-1.043,-0.992
"mut=1_Bivariate",0.9,-1.337,-1.345,-1.385,-1.513,-1.015,-0.936,-0.828,-0.637
"mut=1_Univariate",0.7,-0.607,-0.499,-0.39,-0.281,-1.264,-1.21,-1.155,-1.1
"mut=1_Derived1",0.5,-0.608,-0.499,-0.39,-0.282,-1.264,-1.21,-1.155,-1.1
"mut=1_Derived1",0.6,-0.608,-0.499,-0.39,-0.282,-1.265,-1.21,-1.155,-1.1
"mut=1_Derived1",0.7,-0.608,-0.499,-0.39,-0.282,-1.265,-1.21,-1.155,-1.1
"mut=1_Derived1",0.8,-0.608,-0.499,-0.391,-0.282,-1.264,-1.21,-1.155,-1.1
"mut=1_Derived1",0.9,-0.608,-0.499,-0.39,-0.282,-1.264,-1.21,-1.155,-1.1
"mut=1_Derived2",0.5,-0.568,-0.449,-0.329,-0.209,-1.191,-1.131,-1.07,-1.01
"mut=1_Derived2",0.6,-0.568,-0.449,-0.329,-0.21,-1.191,-1.131,-1.07,-1.01
"mut=1_Derived2",0.7,-0.568,-0.449,-0.329,-0.21,-1.191,-1.131,-1.071,-1.01
"mut=1_Derived2",0.8,-0.568,-0.449,-0.329,-0.21,-1.191,-1.131,-1.071,-1.01
"mut=1_Derived2",0.9,-0.568,-0.449,-0.329,-0.21,-1.191,-1.131,-1.071,-1.01
"mut=5_Bivariate",0.5,-1.24,-1.207,-1.17,-1.126,-1.567,-1.574,-1.585,-1.605
"mut=5_Bivariate",0.6,-1.288,-1.259,-1.226,-1.185,-1.521,-1.524,-1.533,-1.549
"mut=5_Bivariate",0.7,-1.351,-1.33,-1.306,-1.276,-1.46,-1.456,-1.455,-1.46
"mut=5_Bivariate",0.8,-1.439,-1.434,-1.432,-1.439,-1.374,-1.354,-1.331,-1.301
"mut=5_Bivariate",0.9,-1.57,-1.6,-1.663,-1.81,-1.245,-1.19,-1.103,-0.932
"mut=5_Univariate",0.7,-0.876,-0.842,-0.808,-0.774,-1.768,-1.751,-1.734,-1.717
"mut=5_Derived1",0.5,-0.901,-0.841,-0.773,-0.695,-1.606,-1.573,-1.535,-1.493
"mut=5_Derived1",0.6,-0.903,-0.839,-0.765,-0.677,-1.581,-1.542,-1.499,-1.449
"mut=5_Derived1",0.7,-0.906,-0.836,-0.754,-0.654,-1.549,-1.504,-1.452,-1.389
"mut=5_Derived1",0.8,-0.91,-0.833,-0.739,-0.621,-1.508,-1.454,-1.389,-1.306
"mut=5_Derived1",0.9,-0.914,-0.828,-0.718,-0.571,-1.456,-1.387,-1.3,-1.182
"mut=5_Derived2",0.5,-0.145,-0.055,0.027,0.103,-1.137,-1.051,-0.971,-0.897
"mut=5_Derived2",0.6,-0.18,-0.094,-0.014,0.059,-1.177,-1.093,-1.015,-0.943
"mut=5_Derived2",0.7,-0.213,-0.13,-0.053,0.019,-1.213,-1.131,-1.056,-0.985
"mut=5_Derived2",0.8,-0.244,-0.164,-0.089,-0.02,-1.247,-1.168,-1.094,-1.025
"mut=5_Derived2",0.9,-0.273,-0.195,-0.123,-0.056,-1.279,-1.202,-1.13,-1.062
