"","rho_e","beta1_rho_T=0.3","beta1_rho_T=0.5","beta1_rho_T=0.7","beta1_rho_T=0.9","beta2_rho_T=0.3","beta2_rho_T=0.5","beta2_rho_T=0.7","beta2_rho_T=0.9"
"Bivariate",0.5,-0.905,-0.843,-0.779,-0.711,-1.233,-1.209,-1.194,-1.189
"Bivariate",0.6,-0.972,-0.915,-0.855,-0.791,-1.206,-1.18,-1.162,-1.155
"Bivariate",0.7,-1.053,-1.004,-0.954,-0.901,-1.161,-1.129,-1.103,-1.086
"Bivariate",0.8,-1.157,-1.124,-1.098,-1.082,-1.091,-1.045,-0.997,-0.944
"Bivariate",0.9,-1.301,-1.306,-1.344,-1.47,-0.977,-0.896,-0.785,-0.592
"Univariate",0.7,-0.57,-0.45,-0.331,-0.211,-1.192,-1.132,-1.072,-1.011
"mu1=mu2=1",0.5,-0.57,-0.45,-0.331,-0.211,-1.192,-1.132,-1.071,-1.011
"mu1=mu2=1",0.6,-0.57,-0.45,-0.331,-0.211,-1.192,-1.132,-1.071,-1.011
"mu1=mu2=1",0.7,-0.57,-0.45,-0.331,-0.211,-1.192,-1.132,-1.072,-1.011
"mu1=mu2=1",0.8,-0.57,-0.45,-0.331,-0.211,-1.192,-1.132,-1.072,-1.011
"mu1=mu2=1",0.9,-0.57,-0.451,-0.331,-0.211,-1.192,-1.132,-1.072,-1.011
"mu1=mu2=5",0.5,-0.567,-0.447,-0.327,-0.208,-1.191,-1.131,-1.07,-1.01
"mu1=mu2=5",0.6,-0.567,-0.447,-0.328,-0.208,-1.191,-1.131,-1.071,-1.011
"mu1=mu2=5",0.7,-0.567,-0.447,-0.328,-0.208,-1.192,-1.132,-1.071,-1.011
"mu1=mu2=5",0.8,-0.567,-0.448,-0.327,-0.208,-1.193,-1.133,-1.072,-1.012
"mu1=mu2=5",0.9,-0.567,-0.447,-0.328,-0.209,-1.193,-1.133,-1.072,-1.012
"mu1=5_mu2=10",0.5,-0.568,-0.449,-0.329,-0.209,-1.187,-1.131,-1.081,-1.036
"mu1=5_mu2=10",0.6,-0.569,-0.448,-0.329,-0.209,-1.192,-1.136,-1.085,-1.039
"mu1=5_mu2=10",0.7,-0.569,-0.448,-0.329,-0.21,-1.189,-1.132,-1.078,-1.029
"mu1=5_mu2=10",0.8,-0.569,-0.449,-0.329,-0.209,-1.175,-1.114,-1.056,-0.998
"mu1=5_mu2=10",0.9,-0.568,-0.448,-0.329,-0.21,-1.147,-1.08,-1.012,-0.938
"mu1=10_mu2=5",0.5,-0.531,-0.45,-0.37,-0.286,-1.192,-1.131,-1.071,-1.01
"mu1=10_mu2=5",0.6,-0.575,-0.496,-0.415,-0.329,-1.192,-1.132,-1.071,-1.011
"mu1=10_mu2=5",0.7,-0.622,-0.543,-0.461,-0.368,-1.192,-1.132,-1.071,-1.011
"mu1=10_mu2=5",0.8,-0.674,-0.594,-0.506,-0.404,-1.192,-1.132,-1.072,-1.012
"mu1=10_mu2=5",0.9,-0.73,-0.648,-0.554,-0.441,-1.193,-1.133,-1.072,-1.012
"mu1=mu2=10",0.5,-0.338,-0.227,-0.121,-0.021,-1.164,-1.088,-1.015,-0.944
"mu1=mu2=10",0.6,-0.351,-0.242,-0.138,-0.041,-1.184,-1.11,-1.038,-0.969
"mu1=mu2=10",0.7,-0.361,-0.254,-0.155,-0.061,-1.204,-1.132,-1.062,-0.994
"mu1=mu2=10",0.8,-0.37,-0.267,-0.171,-0.081,-1.225,-1.155,-1.086,-1.02
"mu1=mu2=10",0.9,-0.376,-0.278,-0.186,-0.099,-1.247,-1.178,-1.112,-1.048
