"","rho_e","beta1_rho_T=0.3","beta1_rho_T=0.5","beta1_rho_T=0.7","beta1_rho_T=0.9","beta2_rho_T=0.3","beta2_rho_T=0.5","beta2_rho_T=0.7","beta2_rho_T=0.9"
"Bivariate",0.5,-0.864,-0.824,-0.786,-0.749,-0.931,-0.898,-0.87,-0.845
"Bivariate",0.6,-0.911,-0.875,-0.843,-0.812,-0.917,-0.882,-0.85,-0.82
"Bivariate",0.7,-0.966,-0.938,-0.915,-0.899,-0.891,-0.851,-0.81,-0.767
"Bivariate",0.8,-1.036,-1.021,-1.019,-1.04,-0.849,-0.796,-0.736,-0.658
"Bivariate",0.9,-1.131,-1.146,-1.197,-1.342,-0.778,-0.699,-0.587,-0.386
"Univariate",0.7,-0.615,-0.525,-0.436,-0.346,-0.872,-0.811,-0.751,-0.691
"mu1=mu2=1",0.5,-0.615,-0.525,-0.435,-0.345,-0.871,-0.811,-0.751,-0.691
"mu1=mu2=1",0.6,-0.615,-0.525,-0.435,-0.346,-0.872,-0.811,-0.751,-0.691
"mu1=mu2=1",0.7,-0.615,-0.525,-0.435,-0.346,-0.872,-0.811,-0.751,-0.691
"mu1=mu2=1",0.8,-0.615,-0.525,-0.436,-0.346,-0.872,-0.811,-0.751,-0.691
"mu1=mu2=1",0.9,-0.615,-0.525,-0.435,-0.346,-0.872,-0.812,-0.751,-0.691
"mu1=mu2=5",0.5,-0.3,-0.226,-0.157,-0.093,-0.796,-0.723,-0.656,-0.594
"mu1=mu2=5",0.6,-0.33,-0.258,-0.191,-0.129,-0.827,-0.757,-0.691,-0.631
"mu1=mu2=5",0.7,-0.357,-0.287,-0.223,-0.163,-0.857,-0.788,-0.725,-0.665
"mu1=mu2=5",0.8,-0.383,-0.315,-0.252,-0.194,-0.884,-0.818,-0.756,-0.698
"mu1=mu2=5",0.9,-0.406,-0.341,-0.28,-0.224,-0.91,-0.845,-0.785,-0.729
"mu1=5_mu2=10",0.5,0.03,0.131,0.223,0.306,-0.862,-0.81,-0.763,-0.72
"mu1=5_mu2=10",0.6,0.017,0.116,0.206,0.287,-0.872,-0.82,-0.771,-0.726
"mu1=5_mu2=10",0.7,0.012,0.11,0.199,0.28,-0.874,-0.82,-0.768,-0.717
"mu1=5_mu2=10",0.8,0.016,0.115,0.207,0.292,-0.866,-0.807,-0.746,-0.678
"mu1=5_mu2=10",0.9,0.035,0.14,0.242,0.347,-0.843,-0.772,-0.686,-0.558
"mu1=10_mu2=5",0.5,-0.579,-0.523,-0.472,-0.423,-0.718,-0.62,-0.527,-0.441
"mu1=10_mu2=5",0.6,-0.619,-0.567,-0.518,-0.473,-0.775,-0.682,-0.596,-0.516
"mu1=10_mu2=5",0.7,-0.662,-0.614,-0.572,-0.534,-0.837,-0.751,-0.673,-0.605
"mu1=10_mu2=5",0.8,-0.711,-0.671,-0.639,-0.62,-0.907,-0.831,-0.768,-0.722
"mu1=10_mu2=5",0.9,-0.772,-0.747,-0.741,-0.782,-0.991,-0.934,-0.899,-0.905
"mu1=mu2=10",0.5,-0.294,-0.222,-0.155,-0.094,-0.794,-0.722,-0.656,-0.594
"mu1=mu2=10",0.6,-0.327,-0.256,-0.191,-0.131,-0.827,-0.757,-0.692,-0.631
"mu1=mu2=10",0.7,-0.356,-0.288,-0.224,-0.165,-0.857,-0.789,-0.725,-0.666
"mu1=mu2=10",0.8,-0.383,-0.317,-0.255,-0.197,-0.884,-0.818,-0.756,-0.698
"mu1=mu2=10",0.9,-0.408,-0.344,-0.283,-0.227,-0.91,-0.845,-0.785,-0.728
