"","rho_e","beta1_rho_T=0.1","beta1_rho_T=0.2","beta1_rho_T=0.3","beta1_rho_T=0.4","beta2_rho_T=0.1","beta2_rho_T=0.2","beta2_rho_T=0.3","beta2_rho_T=0.4","beta3_rho_T=0.1","beta3_rho_T=0.2","beta3_rho_T=0.3","beta3_rho_T=0.4"
"Male_Multivariate",0.7,-0.123,-0.113,-0.103,-0.092,-0.191,-0.186,-0.181,-0.176,-0.174,-0.175,-0.176,-0.179
"Male_Multivariate",0.8,-0.12,-0.109,-0.097,-0.084,-0.192,-0.187,-0.182,-0.177,-0.183,-0.186,-0.19,-0.195
"Male_Multivariate",0.9,-0.113,-0.098,-0.081,-0.063,-0.192,-0.187,-0.181,-0.176,-0.196,-0.204,-0.214,-0.227
"Male_Multivariate",0.95,-0.105,-0.086,-0.064,-0.039,-0.191,-0.185,-0.178,-0.171,-0.207,-0.221,-0.238,-0.259
"Male_Univariate",0.8,-0.092,-0.079,-0.066,-0.053,-0.152,-0.141,-0.13,-0.118,-0.12,-0.11,-0.101,-0.091
"Male_Derived",0.7,-0.077,-0.063,-0.049,-0.036,-0.135,-0.121,-0.108,-0.095,-0.095,-0.082,-0.069,-0.057
"Male_Derived",0.8,-0.082,-0.068,-0.055,-0.042,-0.139,-0.126,-0.114,-0.101,-0.098,-0.086,-0.073,-0.061
"Male_Derived",0.9,-0.085,-0.072,-0.06,-0.047,-0.144,-0.131,-0.119,-0.107,-0.101,-0.089,-0.077,-0.064
"Male_Derived",0.95,-0.087,-0.074,-0.061,-0.049,-0.146,-0.133,-0.121,-0.109,-0.102,-0.09,-0.077,-0.065
"Female_Multivariate",0.7,-0.095,-0.094,-0.092,-0.09,-0.103,-0.101,-0.099,-0.098,-0.093,-0.089,-0.084,-0.08
"Female_Multivariate",0.8,-0.081,-0.079,-0.077,-0.075,-0.108,-0.107,-0.106,-0.105,-0.107,-0.102,-0.098,-0.093
"Female_Multivariate",0.9,-0.049,-0.045,-0.042,-0.039,-0.117,-0.118,-0.118,-0.12,-0.133,-0.129,-0.124,-0.119
"Female_Multivariate",0.95,-0.015,-0.008,-0.002,0.005,-0.125,-0.129,-0.132,-0.136,-0.16,-0.156,-0.153,-0.149
"Female_Univariate",0.8,-0.102,-0.096,-0.091,-0.085,-0.074,-0.067,-0.061,-0.055,-0.045,-0.038,-0.03,-0.023
"Female_Derived",0.7,-0.105,-0.099,-0.092,-0.085,-0.072,-0.066,-0.059,-0.053,-0.031,-0.023,-0.016,-0.009
"Female_Derived",0.8,-0.108,-0.101,-0.094,-0.088,-0.071,-0.065,-0.059,-0.053,-0.033,-0.026,-0.019,-0.012
"Female_Derived",0.9,-0.11,-0.103,-0.096,-0.089,-0.072,-0.066,-0.06,-0.053,-0.036,-0.029,-0.022,-0.015
"Female_Derived",0.95,-0.109,-0.102,-0.096,-0.089,-0.072,-0.065,-0.059,-0.053,-0.037,-0.03,-0.023,-0.016
