"","rho_e","beta1_rho_T=0.3","beta1_rho_T=0.5","beta1_rho_T=0.7","beta1_rho_T=0.9","beta2_rho_T=0.3","beta2_rho_T=0.5","beta2_rho_T=0.7","beta2_rho_T=0.9"
"Bivariate",0.5,-0.905,-0.843,-0.779,-0.71,-1.233,-1.209,-1.194,-1.189
"Bivariate",0.6,-0.972,-0.915,-0.855,-0.791,-1.206,-1.18,-1.162,-1.155
"Bivariate",0.7,-1.053,-1.004,-0.954,-0.901,-1.161,-1.129,-1.103,-1.086
"Bivariate",0.8,-1.157,-1.124,-1.098,-1.081,-1.091,-1.044,-0.997,-0.944
"Bivariate",0.9,-1.301,-1.306,-1.344,-1.47,-0.977,-0.895,-0.785,-0.592
"Ridge",0.5,-0.891,-0.828,-0.763,-0.695,-1.28,-1.26,-1.247,-1.244
"Ridge",0.6,-0.948,-0.887,-0.825,-0.758,-1.26,-1.239,-1.226,-1.224
"Ridge",0.7,-1.014,-0.959,-0.901,-0.838,-1.228,-1.204,-1.188,-1.183
"Ridge",0.8,-1.096,-1.049,-1.002,-0.952,-1.177,-1.146,-1.122,-1.104
"Ridge",0.9,-1.203,-1.175,-1.154,-1.146,-1.098,-1.052,-1.002,-0.944
"Univariate",0.7,-0.57,-0.45,-0.331,-0.211,-1.192,-1.132,-1.072,-1.011
"mu1=mu2=1",0.5,-0.57,-0.45,-0.33,-0.21,-1.191,-1.131,-1.071,-1.011
"mu1=mu2=1",0.6,-0.57,-0.45,-0.33,-0.211,-1.192,-1.131,-1.071,-1.011
"mu1=mu2=1",0.7,-0.57,-0.45,-0.33,-0.211,-1.192,-1.132,-1.071,-1.011
"mu1=mu2=1",0.8,-0.57,-0.45,-0.331,-0.211,-1.192,-1.132,-1.072,-1.011
"mu1=mu2=1",0.9,-0.57,-0.45,-0.33,-0.211,-1.192,-1.132,-1.072,-1.012
"mu1=mu2=5",0.5,-0.146,-0.056,0.026,0.102,-1.139,-1.053,-0.973,-0.899
"mu1=mu2=5",0.6,-0.181,-0.095,-0.015,0.058,-1.178,-1.094,-1.016,-0.944
"mu1=mu2=5",0.7,-0.214,-0.131,-0.054,0.017,-1.214,-1.133,-1.057,-0.986
"mu1=mu2=5",0.8,-0.245,-0.165,-0.09,-0.021,-1.248,-1.169,-1.095,-1.026
"mu1=mu2=5",0.9,-0.274,-0.196,-0.124,-0.057,-1.28,-1.203,-1.131,-1.063
"mu1=5_mu2=10",0.5,0.3,0.413,0.512,0.596,-1.185,-1.131,-1.084,-1.045
"mu1=5_mu2=10",0.6,0.292,0.402,0.497,0.575,-1.192,-1.137,-1.09,-1.05
"mu1=5_mu2=10",0.7,0.295,0.402,0.495,0.569,-1.188,-1.131,-1.081,-1.037
"mu1=5_mu2=10",0.8,0.312,0.42,0.514,0.589,-1.169,-1.106,-1.046,-0.985
"mu1=5_mu2=10",0.9,0.352,0.467,0.572,0.665,-1.127,-1.048,-0.957,-0.828
"mu1=10_mu2=5",0.5,-0.521,-0.448,-0.377,-0.306,-1.084,-0.96,-0.84,-0.723
"mu1=10_mu2=5",0.6,-0.575,-0.505,-0.437,-0.369,-1.162,-1.043,-0.928,-0.816
"mu1=10_mu2=5",0.7,-0.634,-0.57,-0.507,-0.446,-1.247,-1.135,-1.029,-0.927
"mu1=10_mu2=5",0.8,-0.704,-0.648,-0.598,-0.555,-1.345,-1.245,-1.154,-1.074
"mu1=10_mu2=5",0.9,-0.792,-0.756,-0.738,-0.762,-1.465,-1.387,-1.329,-1.305
"mu1=mu2=10",0.5,-0.138,-0.051,0.028,0.101,-1.138,-1.052,-0.973,-0.899
"mu1=mu2=10",0.6,-0.177,-0.093,-0.016,0.056,-1.178,-1.094,-1.017,-0.945
"mu1=mu2=10",0.7,-0.213,-0.131,-0.056,0.014,-1.214,-1.133,-1.057,-0.987
"mu1=mu2=10",0.8,-0.246,-0.167,-0.093,-0.024,-1.248,-1.169,-1.095,-1.026
"mu1=mu2=10",0.9,-0.277,-0.2,-0.128,-0.06,-1.279,-1.202,-1.13,-1.062
