"","rho_e","beta1_rho_T=0.3","beta1_rho_T=0.5","beta1_rho_T=0.7","beta1_rho_T=0.9","beta2_rho_T=0.3","beta2_rho_T=0.5","beta2_rho_T=0.7","beta2_rho_T=0.9"
"Bivariate",0.5,-1.563,-1.573,-1.601,-1.653,-0.653,-0.554,-0.444,-0.315
"Bivariate",0.6,-1.575,-1.594,-1.636,-1.712,-0.677,-0.572,-0.45,-0.299
"Bivariate",0.7,-1.583,-1.614,-1.676,-1.79,-0.702,-0.587,-0.447,-0.26
"Bivariate",0.8,-1.587,-1.633,-1.727,-1.913,-0.728,-0.6,-0.431,-0.173
"Bivariate",0.9,-1.584,-1.653,-1.804,-2.171,-0.759,-0.61,-0.385,0.051
"Ridge",0.5,-1.579,-1.586,-1.608,-1.649,-0.662,-0.569,-0.468,-0.355
"Ridge",0.6,-1.591,-1.606,-1.639,-1.696,-0.684,-0.586,-0.476,-0.348
"Ridge",0.7,-1.601,-1.625,-1.672,-1.754,-0.707,-0.602,-0.479,-0.326
"Ridge",0.8,-1.608,-1.644,-1.712,-1.835,-0.731,-0.617,-0.473,-0.28
"Ridge",0.9,-1.61,-1.663,-1.764,-1.968,-0.757,-0.629,-0.451,-0.178
"Univariate",0.7,-1.411,-1.351,-1.291,-1.231,-0.462,-0.342,-0.222,-0.102
"mu1=mu2=1",0.5,-1.411,-1.351,-1.291,-1.231,-0.462,-0.342,-0.222,-0.101
"mu1=mu2=1",0.6,-1.411,-1.351,-1.291,-1.231,-0.462,-0.342,-0.222,-0.102
"mu1=mu2=1",0.7,-1.411,-1.351,-1.291,-1.231,-0.462,-0.342,-0.222,-0.102
"mu1=mu2=1",0.8,-1.411,-1.351,-1.292,-1.231,-0.462,-0.342,-0.222,-0.102
"mu1=mu2=1",0.9,-1.411,-1.351,-1.291,-1.231,-0.462,-0.342,-0.222,-0.102
"mu1=mu2=5",0.5,-1.219,-1.129,-1.045,-0.967,-0.219,-0.128,-0.044,0.033
"mu1=mu2=5",0.6,-1.254,-1.166,-1.084,-1.008,-0.253,-0.165,-0.084,-0.009
"mu1=mu2=5",0.7,-1.285,-1.2,-1.121,-1.047,-0.284,-0.199,-0.121,-0.049
"mu1=mu2=5",0.8,-1.315,-1.232,-1.155,-1.083,-0.313,-0.231,-0.156,-0.086
"mu1=mu2=5",0.9,-1.342,-1.262,-1.187,-1.116,-0.341,-0.262,-0.188,-0.12
"mu1=5_mu2=10",0.5,-1.02,-0.867,-0.711,-0.55,-0.434,-0.34,-0.244,-0.142
"mu1=5_mu2=10",0.6,-1.064,-0.909,-0.75,-0.58,-0.464,-0.369,-0.268,-0.155
"mu1=5_mu2=10",0.7,-1.107,-0.95,-0.785,-0.601,-0.494,-0.395,-0.286,-0.155
"mu1=5_mu2=10",0.8,-1.151,-0.991,-0.815,-0.606,-0.522,-0.418,-0.295,-0.13
"mu1=5_mu2=10",0.9,-1.198,-1.032,-0.838,-0.58,-0.552,-0.438,-0.288,-0.036
"mu1=10_mu2=5",0.5,-1.389,-1.35,-1.323,-1.312,0.032,0.123,0.196,0.244
"mu1=10_mu2=5",0.6,-1.413,-1.38,-1.361,-1.363,-0.002,0.079,0.138,0.167
"mu1=10_mu2=5",0.7,-1.434,-1.408,-1.4,-1.422,-0.033,0.036,0.077,0.078
"mu1=10_mu2=5",0.8,-1.451,-1.434,-1.443,-1.501,-0.062,-0.008,0.008,-0.036
"mu1=10_mu2=5",0.9,-1.464,-1.459,-1.498,-1.643,-0.087,-0.055,-0.077,-0.209
"mu1=mu2=10",0.5,-1.215,-1.126,-1.044,-0.967,-0.215,-0.126,-0.044,0.033
"mu1=mu2=10",0.6,-1.252,-1.165,-1.084,-1.01,-0.251,-0.164,-0.084,-0.01
"mu1=mu2=10",0.7,-1.284,-1.2,-1.122,-1.049,-0.284,-0.2,-0.122,-0.049
"mu1=mu2=10",0.8,-1.315,-1.233,-1.157,-1.085,-0.314,-0.233,-0.157,-0.086
"mu1=mu2=10",0.9,-1.343,-1.263,-1.189,-1.119,-0.342,-0.263,-0.189,-0.12
