"","rho_e","beta1_rho_T=0.3","beta1_rho_T=0.5","beta1_rho_T=0.7","beta1_rho_T=0.9","beta2_rho_T=0.3","beta2_rho_T=0.5","beta2_rho_T=0.7","beta2_rho_T=0.9"
"Bivariate",0.5,-0.575,-0.692,-0.836,-1.02,1.185,1.277,1.399,1.562
"Bivariate",0.6,-0.479,-0.6,-0.756,-0.965,1.107,1.204,1.337,1.526
"Bivariate",0.7,-0.356,-0.478,-0.644,-0.884,1,1.099,1.243,1.463
"Bivariate",0.8,-0.188,-0.304,-0.473,-0.748,0.847,0.94,1.087,1.342
"Bivariate",0.9,0.057,-0.028,-0.165,-0.444,0.616,0.679,0.795,1.054
"Univariate",0.7,-0.931,-1.051,-1.171,-1.29,1.37,1.43,1.49,1.55
"mu1=mu2=1",0.5,-0.932,-1.051,-1.171,-1.29,1.37,1.43,1.49,1.55
"mu1=mu2=1",0.6,-0.932,-1.051,-1.171,-1.29,1.37,1.43,1.49,1.55
"mu1=mu2=1",0.7,-0.932,-1.051,-1.171,-1.29,1.37,1.43,1.49,1.55
"mu1=mu2=1",0.8,-0.932,-1.051,-1.171,-1.29,1.37,1.43,1.49,1.55
"mu1=mu2=1",0.9,-0.932,-1.051,-1.171,-1.29,1.37,1.43,1.49,1.55
"mu1=mu2=5",0.5,-1.383,-1.412,-1.437,-1.459,1.606,1.584,1.563,1.542
"mu1=mu2=5",0.6,-1.369,-1.396,-1.42,-1.441,1.626,1.604,1.582,1.561
"mu1=mu2=5",0.7,-1.356,-1.382,-1.405,-1.424,1.645,1.622,1.6,1.579
"mu1=mu2=5",0.8,-1.344,-1.368,-1.39,-1.408,1.662,1.64,1.618,1.596
"mu1=mu2=5",0.9,-1.332,-1.356,-1.376,-1.394,1.679,1.656,1.634,1.612
"mu1=5_mu2=10",0.5,-1.859,-1.843,-1.802,-1.726,1.398,1.431,1.481,1.552
"mu1=5_mu2=10",0.6,-1.904,-1.881,-1.828,-1.732,1.367,1.404,1.459,1.543
"mu1=5_mu2=10",0.7,-1.967,-1.937,-1.871,-1.75,1.322,1.359,1.42,1.52
"mu1=5_mu2=10",0.8,-2.055,-2.021,-1.943,-1.79,1.252,1.287,1.35,1.468
"mu1=5_mu2=10",0.9,-2.184,-2.154,-2.071,-1.881,1.143,1.163,1.212,1.333
"mu1=10_mu2=5",0.5,-0.983,-1.053,-1.136,-1.238,1.85,1.766,1.662,1.53
"mu1=10_mu2=5",0.6,-0.925,-0.998,-1.086,-1.201,1.934,1.845,1.731,1.583
"mu1=10_mu2=5",0.7,-0.855,-0.928,-1.021,-1.152,2.034,1.941,1.818,1.65
"mu1=10_mu2=5",0.8,-0.762,-0.832,-0.927,-1.076,2.16,2.065,1.935,1.742
"mu1=10_mu2=5",0.9,-0.632,-0.686,-0.767,-0.92,2.326,2.24,2.112,1.897
"mu1=mu2=10",0.5,-1.391,-1.416,-1.438,-1.458,1.61,1.586,1.563,1.542
"mu1=mu2=10",0.6,-1.373,-1.398,-1.42,-1.44,1.629,1.604,1.582,1.561
"mu1=mu2=10",0.7,-1.357,-1.381,-1.403,-1.422,1.646,1.622,1.599,1.579
"mu1=mu2=10",0.8,-1.342,-1.366,-1.387,-1.406,1.661,1.638,1.616,1.595
"mu1=mu2=10",0.9,-1.329,-1.351,-1.372,-1.391,1.676,1.653,1.631,1.61
